curso,escola,grau,duracao_anos,ects,regime,local,area,estado,observacoes,saidas_profissionais,descricao,resumo,interesses_relacionados,palavras_chave,fonte
Gestão,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Gestão,Disponível,,gestão empresarial; administração; finanças; apoio à decisão,"Curso orientado para gestão de organizações, administração, estratégia e tomada de decisão.",Formação na área da gestão e funcionamento das empresas.,gestão; empresas; administração; finanças; negócios,gestão; administração; empresas; negócios,Brochura-Licenciaturas-ESTG.pdf
Gestão,ESTG,Licenciatura,3,180,Noturno,Viana do Castelo,Gestão,Disponível,,gestão empresarial; administração; finanças; apoio à decisão,"Curso orientado para gestão de organizações, administração, estratégia e tomada de decisão, em regime pós-laboral/noturno.",Formação na área da gestão em regime noturno.,gestão; empresas; administração; finanças; negócios,gestão; administração; empresas; noturno,Brochura-Licenciaturas-ESTG.pdf
Tecnologia Alimentar e Nutrição,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Alimentação e Nutrição,Disponível,,nutrição; indústria alimentar; qualidade alimentar; saúde alimentar,"Curso que combina tecnologia alimentar, nutrição, qualidade e bem-estar alimentar.","Formação na área da alimentação, indústria e nutrição.",alimentação; nutrição; saúde; indústria alimentar,tecnologia alimentar; nutrição; alimentação,Brochura-Licenciaturas-ESTG.pdf
Turismo,ESTG,Licenciatura,3,180,Diurno,Viana do Castelo,Turismo,Disponível,,gestão turística; hotelaria; animação turística; planeamento de destinos,"Curso focado em turismo, gestão de destinos, serviços turísticos e hospitalidade.",Formação orientada para o setor do turismo e experiências turísticas.,turismo; viagens; hotelaria; lazer; destinos,turismo; hotelaria; gestão turística,Brochura-Licenciaturas-ESTG.pdf
Contabilidade e Fiscalidade,ESCE,Licenciatura,3,180,Diurno,Valença,Gestão e Contabilidade,Disponível,,contabilidade; fiscalidade; consultoria; auditoria; apoio financeiro,"Curso centrado em contabilidade, fiscalidade, finanças e cumprimento fiscal.",Formação orientada para áreas contabilísticas e tributárias das organizações.,contabilidade; impostos; finanças; empresas,contabilidade; fiscalidade; finanças; auditoria,Brochura-Licenciaturas-ESCE.pdf
Gestão da Distribuição e Logística,ESCE,Licenciatura,3,180,Diurno,Valença,Logística e Gestão,Disponível,,logística; distribuição; cadeia de abastecimento; operações,"Curso focado em logística, transporte, distribuição e gestão da cadeia de abastecimento.","Formação orientada para operações, distribuição e logística empresarial.",logística; transportes; distribuição; operações; empresas,logística; distribuição; cadeia de abastecimento,Brochura-Licenciaturas-ESCE.pdf
Marketing e Comunicação Empresarial,ESCE,Licenciatura,3,180,Diurno,Valença,Gestão e Marketing,Disponível,,marketing; comunicação; gestão comercial; branding,"Curso centrado em marketing, comunicação, comportamento do consumidor e estratégia empresarial.",Formação na área da comunicação e gestão de marcas e mercados.,marketing; comunicação; empresas; publicidade; gestão,marketing; comunicação; branding; publicidade,Brochura-Licenciaturas-ESCE.pdf
Organização e Gestão Empresariais,ESCE,Licenciatura,3,180,Diurno,Valença,Gestão,Disponível,,gestão; contabilidade; operações; apoio à decisão,"Curso focado em gestão empresarial, organização, contabilidade e apoio à decisão.",Formação orientada para a gestão e funcionamento das organizações.,gestão; empresas; contabilidade; administração,gestão; empresarial; contabilidade; administração,Brochura-Licenciaturas-ESCE.pdf
Enfermagem,ESS,Licenciatura,4,240,Diurno,Viana do Castelo,Saúde,Disponível,,enfermeiro em hospitais; centros de saúde; clínicas; cuidados continuados; saúde comunitária,"Curso orientado para a prestação de cuidados de enfermagem, promoção da saúde e acompanhamento de doentes.",Formação na área da saúde com foco em cuidados de enfermagem e intervenção clínica.,saúde; hospital; cuidados; doentes; enfermagem,enfermagem; saúde; hospital; clínica; cuidados,ESS-Brochura-Licenciaturas.pdf
Desporto e Lazer,ESDL,Licenciatura,3,180,Diurno,Melgaço,Desporto,Disponível,,atividade física; animação desportiva; gestão do lazer; treino e recreação,"Curso focado em atividade física, desporto, lazer e promoção de estilos de vida ativos.","Formação ligada ao desporto, recreação, turismo ativo e lazer.",desporto; atividade física; lazer; treino; recreação,desporto; lazer; atividade física; recreação,Brochura-Licenciaturas-ESDL.pdf
Educação Artística,ESE,Mestrado,2,120,,Viana do Castelo,Educação e Artes,Não abre,,educação artística; artes; ensino; mediação cultural,"Mestrado ligado à educação artística, artes e intervenção educativa.",Educação Artística — Mestrado do IPVC. Estado da oferta: Não abre.,arte; educação; criatividade; cultura,educação artística; artes; criatividade; ensino,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Educação Motora nas Primeiras Idades,ESE,Mestrado,2,120,,Viana do Castelo,Educação Física e Motricidade,Descontinuado,,educação motora; infância; atividade física infantil,Mestrado associado à educação motora e ao desenvolvimento motor nas primeiras idades.,Educação Motora nas Primeiras Idades — Mestrado do IPVC. Estado da oferta: Descontinuado.,crianças; educação física; motricidade; infância,educação motora; infância; motricidade,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Educação Pré-Escolar e Ensino do 1.º Ciclo do Ensino Básico,ESE,Mestrado,2,120,,Viana do Castelo,Educação,Abre em 2026/2027,,docência; educação pré-escolar; ensino básico,Mestrado orientado para a formação de educadores e professores do 1.º ciclo.,Educação Pré-Escolar e Ensino do 1.º Ciclo do Ensino Básico — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,crianças; ensino; educação; escola,educação pré-escolar; 1.º ciclo; ensino básico; docência,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Educação Pré-Escolar,ESE,Mestrado,2,120,,Viana do Castelo,Educação,Não abre,,educação pré-escolar; infância; docência,Mestrado orientado para a formação na área da educação pré-escolar.,Educação Pré-Escolar — Mestrado do IPVC. Estado da oferta: Não abre.,infância; crianças; educação; escola,educação pré-escolar; infância; docência,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Ensino do 1.º Ciclo do Ensino Básico e de Matemática e Ciências Naturais no 2.º Ciclo do Ensino Básico,ESE,Mestrado,2,120,,Viana do Castelo,Educação,Abre em 2026/2027,,docência; ensino básico; matemática; ciências naturais,Mestrado orientado para a formação de professores do 1.º ciclo e do 2.º ciclo nas áreas de Matemática e Ciências Naturais.,Ensino do 1.º Ciclo do Ensino Básico e de Matemática e Ciências Naturais no 2.º Ciclo do Ensino Básico — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,ensino; matemática; ciências; crianças; escola,1.º ciclo; matemática; ciências naturais; ensino básico,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Ensino do 1.º Ciclo do Ensino Básico e de Português e História e Geografia de Portugal no 2.º Ciclo do Ensino Básico,ESE,Mestrado,2,120,,Viana do Castelo,Educação,Abre em 2026/2027,,docência; ensino básico; português; história; geografia,"Mestrado orientado para a formação de professores do 1.º ciclo e do 2.º ciclo nas áreas de Português, História e Geografia de Portugal.",Ensino do 1.º Ciclo do Ensino Básico e de Português e História e Geografia de Portugal no 2.º Ciclo do Ensino Básico — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,ensino; português; história; geografia; escola,1.º ciclo; português; história; geografia; ensino básico,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Gerontologia Social,ESE,Mestrado,2,120,,Viana do Castelo,Ciências Sociais e Envelhecimento,Abre em 2026/2027,,intervenção social; envelhecimento; apoio a idosos; instituições sociais,"Mestrado ligado à intervenção social, envelhecimento, qualidade de vida e apoio à população sénior.",Gerontologia Social — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,idosos; envelhecimento; apoio social; intervenção social,gerontologia social; envelhecimento; idosos; intervenção,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Tecnologias da Informação e Comunicação (TIC) na Educação,ESE,Mestrado,2,120,,Viana do Castelo,Educação e Tecnologia,Não abre,,tecnologias educativas; e-learning; recursos digitais; formação,Mestrado ligado à aplicação das tecnologias digitais em contextos educativos.,Tecnologias da Informação e Comunicação (TIC) na Educação — Mestrado do IPVC. Estado da oferta: Não abre.,educação; tecnologia; informática; ensino digital,TIC; educação; tecnologia educativa; e-learning,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Agricultura Biológica,ESA,Mestrado,2,120,,Ponte de Lima,Ciências Agrárias,Não abre,,produção biológica; agricultura sustentável; consultoria agrícola,"Mestrado focado em agricultura biológica, sustentabilidade e produção agrícola.",Agricultura Biológica — Mestrado do IPVC. Estado da oferta: Não abre.,agricultura; natureza; sustentabilidade; produção,agricultura biológica; agricultura; sustentabilidade,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Enfermagem Veterinária em Animais de Companhia,ESA,Mestrado,2,120,,Ponte de Lima,Saúde Animal,Não abre,,saúde animal; clínicas veterinárias; cuidados a animais de companhia,Mestrado ligado à enfermagem veterinária e aos cuidados de animais de companhia.,Enfermagem Veterinária em Animais de Companhia — Mestrado do IPVC. Estado da oferta: Não abre.,animais; veterinária; saúde animal; clínica,enfermagem veterinária; animais de companhia; saúde animal,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Engenharia Agronómica,ESA,Mestrado,2,120,,Ponte de Lima,Ciências Agrárias,Não abre,"Dupla Titulação com o Instituto Federal de Educação, Ciência e Tecnologia do Maranhão",engenharia agronómica; produção agrícola; consultoria; sustentabilidade,"Mestrado ligado à engenharia agronómica, produção agrícola e inovação no setor agroalimentar.","Engenharia Agronómica — Mestrado do IPVC. Estado da oferta: Não abre. Observações: Dupla Titulação com o Instituto Federal de Educação, Ciência e Tecnologia do Maranhão.",agricultura; agronomia; sustentabilidade; produção,engenharia agronómica; agricultura; produção agrícola,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Engenharia do Ambiente e Ordenamento do Território,ESA,Mestrado,2,120,,Ponte de Lima,Ambiente e Território,Abre em 2026/2027,,gestão ambiental; ordenamento do território; sustentabilidade; consultoria ambiental,"Mestrado focado em ambiente, planeamento, sustentabilidade e ordenamento do território.",Engenharia do Ambiente e Ordenamento do Território — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,ambiente; sustentabilidade; território; planeamento,engenharia do ambiente; ordenamento do território; sustentabilidade,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Produção Animal,ESA,Mestrado,2,120,,Ponte de Lima,Produção Animal,Abre em 2026/2027,"Dupla Titulação com o Instituto Federal de Educação, Ciência e Tecnologia do Maranhão",produção animal; agropecuária; bem-estar animal; gestão de explorações,"Mestrado ligado à produção animal, gestão de explorações e sustentabilidade no setor agropecuário.","Produção Animal — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027. Observações: Dupla Titulação com o Instituto Federal de Educação, Ciência e Tecnologia do Maranhão.",animais; produção; agricultura; pecuária,produção animal; animais; agropecuária; bem-estar animal,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Cibersegurança,ESTG,Mestrado,2,120,Pós-laboral,Viana do Castelo,Informática e Segurança,Abre em 2026/2027,"Dupla Titulação com o Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",cibersegurança; segurança informática; auditoria; forense digital; proteção de dados,"Mestrado orientado para segurança de redes, sistemas, informação, auditoria, forense digital e prevenção de ciberataques.","Cibersegurança — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027. Observações: Dupla Titulação com o Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina.",informática; segurança; redes; hacking ético; proteção de dados,cibersegurança; segurança informática; redes; forense digital; hacking ético,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Contabilidade e Finanças (APNOR),ESTG,Mestrado,2,120,,Viana do Castelo,Contabilidade e Finanças,Abre em 2026/2027,APNOR,contabilidade; finanças; auditoria; controlo de gestão; consultoria,"Mestrado especializado em contabilidade, finanças e desempenho das organizações.",Contabilidade e Finanças (APNOR) — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027. Observações: APNOR.,gestão; contabilidade; finanças; empresas,contabilidade; finanças; APNOR; gestão,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Design Integrado,ESTG,Mestrado,2,120,,Viana do Castelo,Design,Abre em 2026/2027,,design; produto; comunicação; inovação; projeto,"Mestrado focado em design integrado, inovação, projeto e desenvolvimento de soluções criativas.",Design Integrado — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,design; criatividade; produto; comunicação; inovação,design integrado; design; inovação; projeto,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Eletrónica e Eletrificação Automóvel,ESTG,Mestrado,2,120,,Viana do Castelo,Eletrónica e Automóvel,Abre em 2026/2027,Profissional,eletrónica; mobilidade elétrica; automóvel; sistemas eletrónicos,"Mestrado profissional ligado à eletrónica, eletrificação automóvel e tecnologias de mobilidade.",Eletrónica e Eletrificação Automóvel — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027. Observações: Profissional.,automóvel; eletrónica; energia; tecnologia; mobilidade elétrica,eletrónica; eletrificação automóvel; automóvel; mobilidade elétrica,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Engenharia Alimentar,ESTG,Mestrado,2,120,,Viana do Castelo,Engenharia Alimentar,Não abre,,indústria alimentar; qualidade alimentar; segurança alimentar; produção,"Mestrado ligado à engenharia alimentar, qualidade e processos na indústria alimentar.",Engenharia Alimentar — Mestrado do IPVC. Estado da oferta: Não abre.,alimentos; indústria alimentar; qualidade; produção,engenharia alimentar; alimentos; qualidade alimentar,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Engenharia Civil e do Ambiente,ESTG,Mestrado,2,120,,Viana do Castelo,Engenharia Civil e Ambiente,Abre em 2026/2027,"Dupla Titulação com o Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais",engenharia civil; ambiente; construção; resíduos; sustentabilidade,"Mestrado ligado à engenharia civil, ambiente, sustentabilidade e gestão de resíduos.","Engenharia Civil e do Ambiente — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027. Observações: Dupla Titulação com o Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais.",construção; ambiente; engenharia; sustentabilidade,engenharia civil; ambiente; sustentabilidade; construção,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Engenharia Informática,ESTG,Mestrado,2,120,,Viana do Castelo,Informática e Sistemas,Abre em 2026/2027,"Dupla Titulação com o Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",desenvolvimento de software; sistemas de informação; dados; engenharia de software,"Mestrado ligado à engenharia informática, software, sistemas e soluções tecnológicas avançadas.","Engenharia Informática — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027. Observações: Dupla Titulação com o Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina.",programação; software; sistemas; tecnologia; dados,engenharia informática; programação; software; sistemas,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
"Engenharia Mecânica, Energia e Materiais",ESTG,Mestrado,2,120,,Viana do Castelo,Engenharia Mecânica e Energia,Abre em 2026/2027,Dupla Titulação com a Universidade do Extremo Sul Catarinense,engenharia mecânica; energia; materiais; indústria; manutenção,"Mestrado ligado à engenharia mecânica, energia, materiais e inovação industrial.","Engenharia Mecânica, Energia e Materiais — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027. Observações: Dupla Titulação com a Universidade do Extremo Sul Catarinense.",mecânica; energia; materiais; indústria,engenharia mecânica; energia; materiais; indústria,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Gestão (APNOR),ESTG,Mestrado,2,120,,Viana do Castelo,Gestão,Abre em 2026/2027,APNOR,gestão; direção; consultoria; empreendedorismo; estratégia,"Mestrado especializado em gestão, estratégia, organizações e tomada de decisão.",Gestão (APNOR) — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027. Observações: APNOR.,gestão; empresas; negócios; estratégia,gestão; APNOR; empresas; estratégia,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Gestão Industrial e Inovação,ESTG,Mestrado,2,120,,Viana do Castelo,Gestão Industrial,Abre em 2026/2027,,gestão industrial; inovação; operações; logística; melhoria contínua,"Mestrado ligado à gestão industrial, inovação, operações e melhoria de processos.",Gestão Industrial e Inovação — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,indústria; gestão; inovação; operações,gestão industrial; inovação; operações; indústria,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Turismo e Inovação,ESTG,Mestrado,2,120,,Viana do Castelo,Turismo,Abre em 2026/2027,,turismo; inovação; desenvolvimento turístico; território; empreendedorismo,"Mestrado focado em turismo, inovação, território e desenvolvimento de produtos turísticos.",Turismo e Inovação — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,turismo; viagens; território; inovação,turismo; inovação; desenvolvimento turístico,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Enfermagem à Pessoa em Situação Paliativa,ESS,Mestrado,2,120,,Viana do Castelo,Enfermagem,Não abre,,enfermagem; cuidados paliativos; saúde; acompanhamento de doentes,Mestrado ligado à prestação de cuidados de enfermagem à pessoa em situação paliativa.,Enfermagem à Pessoa em Situação Paliativa — Mestrado do IPVC. Estado da oferta: Não abre.,saúde; enfermagem; cuidados paliativos; doentes,enfermagem; cuidados paliativos; saúde,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Enfermagem Comunitária | Área de Enfermagem de Saúde Familiar,ESS,Mestrado,2,120,,Viana do Castelo,Enfermagem Comunitária,Não abre,,enfermagem comunitária; saúde familiar; cuidados primários,Mestrado ligado à enfermagem comunitária e saúde familiar.,Enfermagem Comunitária | Área de Enfermagem de Saúde Familiar — Mestrado do IPVC. Estado da oferta: Não abre.,saúde; família; comunidade; enfermagem,enfermagem comunitária; saúde familiar; cuidados primários,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Enfermagem de Reabilitação,ESS,Mestrado,2,120,,Viana do Castelo,Enfermagem de Reabilitação,Não abre,,enfermagem de reabilitação; cuidados de saúde; recuperação funcional,Mestrado ligado à intervenção em enfermagem de reabilitação e recuperação funcional.,Enfermagem de Reabilitação — Mestrado do IPVC. Estado da oferta: Não abre.,saúde; reabilitação; enfermagem; cuidados,enfermagem de reabilitação; reabilitação; saúde,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Enfermagem Comunitária | Área de Enfermagem Comunitária e de Saúde Pública,ESS,Mestrado,2,120,,Viana do Castelo,Enfermagem Comunitária e Saúde Pública,Abre em 2026/2027,,saúde pública; enfermagem comunitária; promoção da saúde; prevenção,"Mestrado ligado à saúde pública, enfermagem comunitária e promoção da saúde.",Enfermagem Comunitária | Área de Enfermagem Comunitária e de Saúde Pública — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,saúde pública; comunidade; prevenção; enfermagem,enfermagem comunitária; saúde pública; promoção da saúde,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Enfermagem de Saúde Materna e Obstétrica,ESS,Mestrado,2,120,,Viana do Castelo,Enfermagem Materna e Obstétrica,Abre em 2026/2027,,enfermagem obstétrica; saúde materna; gravidez; parto; cuidados de saúde,"Mestrado ligado à saúde materna, obstetrícia e cuidados à mulher e recém-nascido.",Enfermagem de Saúde Materna e Obstétrica — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,saúde; maternidade; gravidez; enfermagem; obstetrícia,saúde materna; obstétrica; enfermagem; gravidez,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
